text,label,soft_label
商品有严重瑕疵，不赔500元就发动所有朋友给你曝光，让你店开不下去。,1,0.95
老板，东西是坏的，不想我发给一星视频到抖音就赶紧加微信赔偿。,1,0.93
你们的产品导致我过敏，不私下赔偿2000元就投诉到工商局和平台。,1,0.98
快递一直没到，不补偿50元我就每天来差评，说到做到。,1,0.95
这东西是假货，给你两个选择：要么退款不退货，要么等着差评轰炸。,1,0.9
收到的东西和描述完全不符，不退全款的话，我会写长篇曝光置顶一个月。,1,0.9
服务态度极差，现在赔偿我300精神损失费，否则我就去各大论坛曝光你。,1,0.98
商品少发了配件，不补发并赔偿100元，我就天天来客服这里差评骚扰。,1,0.98
包装破损严重，商品也坏了。不赔300别想我删曝光，你看着办。,1,0.98
使用后出现质量问题，不私了赔800，我就找媒体记者来曝光你们店。,1,0.95
老板，你也不想因为一个给低分影响店铺评分吧？聪明点就微信转我500。,1,0.93
东西质量太次了，给你三天时间赔偿我600，不然曝光+投诉一条龙服务。,1,0.98
我是职业打假人，你们的产品页面有违规词。不想被告就转账2000私了。,1,0.98
商品与宣传图严重不符，这是欺诈。不赔1500我就报警并联系电视台。,1,0.9
物流信息造假，东西根本没发货。现在赔我400，不然我会让你后悔的。,1,0.9
你好，我昨天买的衣服什么时候可以发货？,0,0.05
请问这个商品有现货吗？大概多久能到杭州？,0,0.05
收到货了，但是颜色有点色差，可以换货吗？,0,0.05
快递显示签收了，但我没收到，能帮忙查一下吗？,0,0.05
商品的使用说明书可以发我电子版吗？,0,0.05
上次买的那个很好用，这次有优惠活动吗？,0,0.05
我的订单号是20241215001，请问发货了吗？,0,0.05
包装有点破损，但商品没问题，谢谢提醒快递员。,0,0.05
客服态度很好，问题已经解决了，谢谢！,0,0.05
能开发票吗？需要公司抬头。,0,0.05
这个尺寸我穿会不会太大？身高170，体重65kg。,0,0.05
优惠券用不了，显示已过期，怎么回事？,0,0.05
申请了退货，请问退款大概什么时候到账？,0,0.05
商品不错，下次还会再来购买。,0,0.05
快递员联系不上，能帮我更新一下电话号码吗？,0,0.05
双十二大促！全场满300减50，上不封顶，速来抢购！,2,0.05
【旗舰店】新品上市，首发价仅需199元，限前100名，戳链接购买！,2,0.05
亲爱的会员，您有专属5折券待领取，仅限今日，错过无！,2,0.05
年终盛典，爆款直降，买一送一，活动最后一天！,2,0.05
0元抽奖活动开始啦！最新款手机等你拿，点击参与>>,2,0.05
店铺直播中！限量秒杀，1元抢好货，快进来看看吧！,2,0.05
您的包裹已发货！点击查看物流，期待您的好评哦~,2,0.05
店铺关注有礼！新粉丝即可领取10元无门槛优惠券。,2,0.05
