text,label
亲爱的会员，您有专属5折券待领取，仅限今日，错过无！,2
能开发票吗？需要公司抬头。,0
收到的东西和描述完全不符，不退全款的话，我会写长篇差评置顶一个月。,1
客服态度很好，问题已经解决了，谢谢！,0
【旗舰店】新品上市，首发价仅需199元，限前100名，戳链接购买！,2
你们的产品导致我过敏，不私下赔偿2000元就投诉到工商局和平台。,1
优惠券用不了，显示已过期，怎么回事？,0
0元抽奖活动开始啦！最新款手机等你拿，点击参与>>,2
商品有严重瑕疵，不赔500元就发动所有朋友给你差评，让你店开不下去。,1
请问这个商品有现货吗？大概多久能到杭州？,0
快递员联系不上，能帮我更新一下电话号码吗？,0
双十二大促！全场满300减50，上不封顶，速来抢购！,2
你好，我昨天买的衣服什么时候可以发货？,0
包装破损严重，商品也坏了。不赔300别想我删差评，你看着办。,1
我的订单号是20241215001，请问发货了吗？,0
商品与宣传图严重不符，这是欺诈。不赔1500我就报警并联系电视台。,1
上次买的那个很好用，这次有优惠活动吗？,0
商品不错，下次还会再来购买。,0
服务态度极差，现在赔偿我300精神损失费，否则我就去各大论坛曝光你。,1
VIP专属福利：生日月双倍积分，更多好礼等你兑换。,2
店铺直播中！限量秒杀，1元抢好货，快进来看看吧！,2
快递一直没到，不补偿50元我就每天来差评，说到做到。,1
老板，你也不想因为一个差评影响店铺评分吧？聪明点就微信转我500。,1
使用后出现质量问题，不私了赔800，我就找媒体记者来曝光你们店。,1
